year,est,lwr,upr,log_est,se,type,prey_group,scenario
2019,0.004849607959435988,0.0044584041175183805,0.005275138085355028,-5.328857410405899,0.042912516977447586,index,Other,all_1
2020,0.004849740140073179,0.0044531176275971135,0.005281688334590056,-5.328830154834526,0.04353176051710201,index,Other,all_1
2021,0.005097960086800823,0.0047062831436288964,0.005522234054658819,-5.278914802246617,0.04078749525699257,index,Other,all_1
2022,0.005484710881625076,0.0050320867127116985,0.005978047512381966,-5.205790897378009,0.043944496316228446,index,Other,all_1
2023,0.005983382819554449,0.005373815780588313,0.006662094762284528,-5.118769182072537,0.05482134769207384,index,Other,all_1
1995,0.0025153134463067046,0.0019880471890780403,0.0031824203006495916,-5.985357852457947,0.12002495120640946,index,Sprat,all_1
1996,0.002840486717243526,0.002243062776292058,0.0035970303087880947,-5.863779862181678,0.1204783230047571,index,Sprat,all_1
1997,0.003075944860077435,0.002421359232237682,0.003907489915692134,-5.784143153351999,0.1220854458604797,index,Sprat,all_1
1998,0.0032548236595671283,0.0025790434737063017,0.0041076768045533035,-5.72761718003733,0.11873662843599593,index,Sprat,all_1
1999,0.0032419670764880014,0.0025764487191115015,0.0040793944187861395,-5.731575011029286,0.11723086979717827,index,Sprat,all_1
2000,0.0029918510078315477,0.0023765882830492813,0.0037663959369427878,-5.811863016957555,0.11746455501760461,index,Sprat,all_1
2001,0.002767168910299498,0.0021983547355774484,0.0034831611360105477,-5.889930535479777,0.11740803004311273,index,Sprat,all_1
2002,0.002396643728188006,0.0018759809671643377,0.0030618120654737615,-6.033685966955581,0.12497046316198324,index,Sprat,all_1
2003,0.0023454858495062228,0.0018199778359555628,0.0030227312451558052,-6.055262713253303,0.1294249510509275,index,Sprat,all_1
2004,0.002417210455182478,0.0018863478995939618,0.0030974701887712093,-6.025141108158375,0.1265184163179094,index,Sprat,all_1
2005,0.0027280861235671372,0.002175140933307224,0.0034215961750504063,-5.904154969276693,0.11556684312968124,index,Sprat,all_1
2006,0.0035132936310229685,0.0028754837229887603,0.004292575902657893,-5.651201325068727,0.10221261406976782,index,Sprat,all_1
2007,0.004128061552309378,0.0034252002680379384,0.004975152062981841,-5.489947339986383,0.09523031955864018,index,Sprat,all_1
2008,0.004602555238151965,0.0038617972189300097,0.00548540317352795,-5.381143643157858,0.08953172677203543,index,Sprat,all_1
2009,0.004636662349215321,0.0038872075836268913,0.00553061221406962,-5.373760492869465,0.08995253610420208,index,Sprat,all_1
2010,0.004345728267820652,0.003629276988458745,0.005203613347174027,-5.438561923764255,0.09192000717036053,index,Sprat,all_1
2011,0.0038146569032848883,0.0031743704622560448,0.004584092330369385,-5.568904551898141,0.09374733181480083,index,Sprat,all_1
2012,0.0035951161615592813,0.0030075963045741753,0.004297405271926839,-5.628178976353601,0.09103999574019793,index,Sprat,all_1
2013,0.0037774257528165847,0.003196271483073403,0.004464246980773208,-5.578712519121971,0.08523513301275983,index,Sprat,all_1
2014,0.0043997973894,0.0037677726948486374,0.0051378410099520945,-5.4261967869817935,0.07912107746642122,index,Sprat,all_1
